"","metric","ThresholdNAT_Lower","ThresholdNAT_Upper","ThresholdNATMed_Lower","ThresholdNATMed_Upper","ThresholdNATLow_Lower","ThresholdNATLow_Upper","ThresholdNATHigh_Lower","ThresholdNATHigh_Upper","ThresholdHB_Lower","ThresholdHB_Upper","ThresholdSB0_Lower","ThresholdSB0_Upper","ThresholdSB2_Lower","ThresholdSB2_Upper","n","Index","Hydro_endpoint","SmoothingFunc","CorObs_Pred"
"80","csci_Peak_2_15",-231.354564731497,37.1699943427705,-231.354564731497,37.1699943427705,-7902.6927527145,-3320.36640468024,-94.9473921554255,-35.4980159473313,-7890.97089150771,-4224.53116092599,-239.724154792269,41.7582960569153,-858.029595045446,-691.081890742283,402,"csci","Peak_2",15,0.538486548421142
"81","asci_Peak_5_15",701.887293631969,980.653350245572,701.887293631969,980.653350245572,-368.36271838339,14.0335698153093,3673.74634312706,NA,815.321985611949,924.328818989781,-248.072033439776,-147.537035220676,-342.261822298705,-65.9903777943378,223,"asci","Peak_5",15,0.406719601621631
"82","csci_Peak_5_15",-18078.1216680812,-15715.9490888713,-18078.1216680812,-15715.9490888713,-18421.5707636711,-9667.75722370513,759.088039584891,NA,-18328.5013920106,-10104.261496693,-18095.85573603,-15235.094785893,-18149.0579398766,-13792.5318769581,402,"csci","Peak_5",15,0.500788791746569
"83","asci_SP_Mag_15",438.786445177677,505.223670747198,438.786445177677,505.223670747198,-124.377645238135,-54.7563464085211,1594.48773044551,NA,441.800121287779,483.188010665255,-113.657050381172,-72.3582524144328,-121.697496523894,-57.7242281297303,223,"asci","SP_Mag",15,0.51217435833582
"84","csci_SP_Mag_15",-14.4082417595974,191.997044283197,-14.4082417595974,191.997044283197,-958.915816408243,-663.936398498025,26.5074280384993,67.6206800196366,-939.201413175582,-732.235721743757,-63.4541555043437,-36.3461407749005,-896.977725826997,-868.834368235221,402,"csci","SP_Mag",15,0.54718108765447
"85","asci_Wet_BFL_Mag_10_15",NA,NA,NA,NA,-12.1122790018614,-1.929640971088,NA,NA,NA,NA,-8.32192376951085,-3.0287313737252,-10.8524339757723,-2.28900461492116,223,"asci","Wet_BFL_Mag_10",15,0.339702000881726
"86","csci_Wet_BFL_Mag_10_15",-13.1025464507525,-2.5323251581402,-13.1025464507525,-2.5323251581402,-85.0844958741522,-66.2262108664081,-8.20691799399091,-4.342873520774,-84.2012939131042,-70.9353546540496,-13.6136920393958,-2.27967020219901,-82.3072375837841,-80.3536422293326,402,"csci","Wet_BFL_Mag_10",15,0.520850156314448
"87","asci_Wet_BFL_Mag_50_15",-70.3419585341571,-48.4232626675836,-70.3419585341571,-48.4232626675836,-132.105974365296,-44.5019528699891,103.353092297054,148.011178351524,-64.7270480040535,-48.7797453764559,-109.646332244882,-45.927883705478,-126.491063835192,-44.8584355788614,223,"asci","Wet_BFL_Mag_50",15,0.406480661057893
"88","csci_Wet_BFL_Mag_50_15",-239.816980908862,-59.3154047414926,-239.816980908862,-59.3154047414926,-315.574819590128,-46.043008100468,-178.263736980334,-72.8885638946903,-296.635359919811,-50.1848107503315,-244.551845826441,-58.5545219088959,-258.756440579179,-56.2718734111056,402,"csci","Wet_BFL_Mag_50",15,0.441632200660259
"89","asci_Q99_15",782.259458030622,NA,782.259458030622,NA,-210.007022026577,-7.97807330936245,835.859369426836,NA,797.536958437047,NA,-141.465369051996,-40.6065957479342,-192.511127747977,-16.5494974302914,223,"asci","Q99",15,0.468150429323985
"90","csci_Q99_15",-187.25623125254,133.041517754147,-187.25623125254,133.041517754147,-26481.9210458396,-2804.30748769741,461.054791542803,NA,-22580.3519300551,-7097.2502441434,-193.288491794628,NA,-14777.2136984862,-13275.0756735839,402,"csci","Q99",15,0.549061269376473
"91","asci_DS_Mag_50_18",NA,NA,NA,NA,-8.20048055206974,-6.30596574798145,NA,NA,NA,NA,-2.27342360319114,1.03828547827306,-7.91207697970267,-6.57917362193342,223,"asci","DS_Mag_50",18,0.498233591933507
